Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2012","2012","gigagrams","92865.3107","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2013","2013","gigagrams","94013.3703","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2014","2014","gigagrams","94715.5622","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2015","2015","gigagrams","98007.2198","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2016","2016","gigagrams","96821.401","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","1718","Cereals excluding rice","2017","2017","gigagrams","94759.8275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2000","2000","tonnes","215181638","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2001","2001","tonnes","217167160","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2002","2002","tonnes","220362867","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2003","2003","tonnes","211920148","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2004","2004","tonnes","230962033","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2005","2005","tonnes","245981891","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2006","2006","tonnes","268435733","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2007","2007","tonnes","269281769","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2008","2008","tonnes","285690726","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2009","2009","tonnes","285654122","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2010","2010","tonnes","299828085.1985","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2011","2011","tonnes","317067457.956","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2012","2012","tonnes","334012749.0446","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2013","2013","tonnes","348112759.142","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2014","2014","tonnes","350091228.0571","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2015","2015","tonnes","406965948.2015","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2016","2016","tonnes","403552729.1453","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","1718","Cereals excluding rice","2017","2017","tonnes","402879727.7741","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2000","2000","kg CO2eq/kg product","0.8373","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2001","2001","kg CO2eq/kg product","0.8614","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2002","2002","kg CO2eq/kg product","0.8852","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2003","2003","kg CO2eq/kg product","0.9177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2004","2004","kg CO2eq/kg product","0.8777","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2005","2005","kg CO2eq/kg product","0.8844","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2006","2006","kg CO2eq/kg product","0.8855","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2007","2007","kg CO2eq/kg product","0.8725","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2008","2008","kg CO2eq/kg product","0.8562","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2009","2009","kg CO2eq/kg product","0.8544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2010","2010","kg CO2eq/kg product","0.8612","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2011","2011","kg CO2eq/kg product","0.8473","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2012","2012","kg CO2eq/kg product","0.8399","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2013","2013","kg CO2eq/kg product","0.8474","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2014","2014","kg CO2eq/kg product","0.8369","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2015","2015","kg CO2eq/kg product","0.824","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2016","2016","kg CO2eq/kg product","0.8247","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","27","Rice, paddy","2017","2017","kg CO2eq/kg product","0.8127","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2000","2000","gigagrams","158927.1491","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2001","2001","gigagrams","154452.9243","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2002","2002","gigagrams","156104.2159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2003","2003","gigagrams","148944.9837","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2004","2004","gigagrams","158436.766","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2005","2005","gigagrams","161002.6664","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2006","2006","gigagrams","162297.108","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2007","2007","gigagrams","163501.3105","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2008","2008","gigagrams","165550.233","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2009","2009","gigagrams","168052.0624","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2010","2010","gigagrams","169847.2805","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2011","2011","gigagrams","171719.8651","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2012","2012","gigagrams","172973.5485","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2013","2013","gigagrams","173881.4752","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2014","2014","gigagrams","174285.2276","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2015","2015","gigagrams","176101.6893","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2016","2016","gigagrams","175391.1525","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","27","Rice, paddy","2017","2017","gigagrams","174267.7297","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2000","2000","tonnes","189814060","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2001","2001","tonnes","179304887","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2002","2002","tonnes","176342195","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2003","2003","tonnes","162304280","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2004","2004","tonnes","180522603","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2005","2005","tonnes","182055138","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2006","2006","tonnes","183276048","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2007","2007","tonnes","187397460","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2008","2008","tonnes","193352875","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2009","2009","tonnes","196681177","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2010","2010","tonnes","197212003","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2011","2011","tonnes","202667169","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2012","2012","tonnes","205936129","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2013","2013","tonnes","205201696","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2014","2014","tonnes","208239610","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2015","2015","tonnes","213723732","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2016","2016","tonnes","212681776","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","27","Rice, paddy","2017","2017","tonnes","214430049","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2000","2000","kg CO2eq/kg product","32.827","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2001","2001","kg CO2eq/kg product","31.0887","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2002","2002","kg CO2eq/kg product","28.3527","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2003","2003","kg CO2eq/kg product","25.6761","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2004","2004","kg CO2eq/kg product","24.0739","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2005","2005","kg CO2eq/kg product","22.5922","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2006","2006","kg CO2eq/kg product","20.9514","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2007","2007","kg CO2eq/kg product","18.1931","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2008","2008","kg CO2eq/kg product","18.4716","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2009","2009","kg CO2eq/kg product","17.7914","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2010","2010","kg CO2eq/kg product","17.5149","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2011","2011","kg CO2eq/kg product","17.5254","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2012","2012","kg CO2eq/kg product","16.5655","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2013","2013","kg CO2eq/kg product","16.2903","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2014","2014","kg CO2eq/kg product","15.8847","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2015","2015","kg CO2eq/kg product","16.1701","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2016","2016","kg CO2eq/kg product","16.1221","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","71761","Emissions intensity","867","Meat, cattle","2017","2017","kg CO2eq/kg product","15.8116","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2000","2000","gigagrams","152709.5203","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2001","2001","gigagrams","147024.5839","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2002","2002","gigagrams","137606.6857","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2003","2003","gigagrams","131990.3808","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2004","2004","gigagrams","127477.2863","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2005","2005","gigagrams","121018.4627","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2006","2006","gigagrams","115221.0491","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2007","2007","gigagrams","106350.4738","A","Aggregate, may include official, semi-official, estimated or calculated data"
